country,country_code,region,income_group,skill_level,wage_usd_year,unit,capital,pathway,source
Djibouti,DJI,Middle East & North Africa,Lower middle income,low,3209.8723678120587,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Djibouti,DJI,Middle East & North Africa,Lower middle income,medium,6512.784514401279,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Djibouti,DJI,Middle East & North Africa,Lower middle income,high,21744.72543991937,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Dominica,DMA,Latin America & Caribbean,Upper middle income,low,3838.033675998043,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Dominica,DMA,Latin America & Caribbean,Upper middle income,medium,9288.6865435919,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Dominica,DMA,Latin America & Caribbean,Upper middle income,high,48435.01741958035,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Denmark,DNK,Europe & Central Asia,High income,low,28077.870082091693,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Denmark,DNK,Europe & Central Asia,High income,medium,42318.20756676435,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Denmark,DNK,Europe & Central Asia,High income,high,85252.46966697543,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,low,3025.3765728869894,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,medium,5427.3422156033275,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,high,17272.149888845724,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Algeria,DZA,Middle East & North Africa,Lower middle income,low,3472.2160086602325,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
